pageTitle,text
Editing Opportunities Statuses,"Understanding the different opportunity statuses and how to update them empowers users to efficiently manage their sales workflow and maximize conversion ratesThis comprehensive guide will walk you through the process of updating opportunity statuses in GoHighLevel, while also covering the differences between the various statuses and how to leverage them effectivelyIn this Article Understanding Opportunity Statuses: Open Won Lost Abandoned Step-by-Step Guide: Updating Opportunity Status Step 1: Accessing the Opportunities Section Step 2: Locating the Opportunity to Update Step 3: Updating the Status Understanding Opportunity Statuses: Open: Opportunities with the ""Open"" status are actively being pursued and are still in progressThese opportunities represent potential deals that have not yet been won, lost, or abandoned and are still viable for conversionWon: The ""Won"" status indicates that the opportunity has been successfully converted into a sale or dealThis status is applied when the lead has made a purchase or signed a contract, resulting in revenue generation for the businessLost: Opportunities with the ""Lost"" status represent deals that have been unsuccessfully concludedThis status is applied when the lead decides not to move forward with the purchase or chooses a competitor's offeringAbandoned: The ""Abandoned"" status indicates that the opportunity has been neglected or disregarded, either by the lead or by the sales teamThis status is applied when there is no further action or follow-up planned for the opportunity, and it is effectively removed from active considerationStep-by-Step Guide: Updating Opportunity Status Step 1: Accessing the Opportunities Section Log in to your GoHighLevel accountNavigate to the ""Opportunities"" section from the sidebar menuStep 2: Locating the Opportunity to Update Once you're in the Opportunities section, locate the opportunity whose status you wish to updateYou can use search filters or browse through the list of opportunities to find the specific one you need to modifyStep 3: Updating the Status Option 1: Click on the opportunity card to open its details pageAlternatively, you can click on the ""Edit"" button next to the opportunity to access its detailsIn the opportunity details page, locate the status field, which typically displays the current status of the opportunityClick on the status field to open the dropdown menu and select the desired status from the available options (Open, Won, Lost, or Abandoned)Confirm the status change, and the opportunity will be updated accordingly in the sales pipelineOption 2: Drag the opportunity card to the right status which appears as soon as the card is draggedDrop it on the status which you want to update the card toThe status of the card will be updated and will reflect on the card"
Turning Off Alternate Time Zones," How to prevent users from making appointments in time zones other than the business's time zone: If you have a client whose business is near a time zone border (or maybe the business is in a popular tourist town that receives customers from other time zones) you may want to prevent people from being able to book appointments in their own time zones. To prevent people from being able to book appointments in their own time zones please head into: Settings > Select the Business Info tab > Scroll down and activate the ""Disable Contact Time zone"" checkbox. With the ""Disable Contact Time zone"" box selected, users will no longer see the time zone dropdown selector in the calendar widget (see screenshot below), and all appointments will be made in whatever time zone is set within the location settings. To see which timezone the location is set to please head into the Location Settings > Business Info> Time Zone field. The screenshot shows after you have selected the ""Disable Contact Time zone"" checkbox on the calendar widget This screenshot shows the default calendar widget with the timezone preference "
Embed a HighLevel Calendar," Go to ""Calendars"" > ""Calendar Settings"" For the specific calendar you'd like to embed, click the ""three dots"" icon and select ""Share"" In the pop-up modal, select the ""Embed Code"" tab Click ""Copy"" Past the embed code in a custom code element on another website as desired. Note: If you are looking to embed a HighLevel Calendar in a funnel or website page in HighLevel, you can use the Calendar element in the page builder. This element will allow you to choose the calendar you'd like to display and automatically insert it without the need for adding an embed code manually. "
Triggers - Overview," Note: Now that Workflows are live in all accounts, you can do everything that Triggers and Campaigns do (and more!), all in one builder! Click to learn more about Workflows. Triggers are conditional statements (similar to Zaps in Zapier) that connect all the different modules of HighLevel together. Think of triggers as the wiring or 'secret sauce' in the back-end making all the cool things HighLevel does actually happen. Example: Let's say you have set up a Zap in Zapier to push leads into a HighLevel campaign when they fill out a form embedded in a ClickFunnels landing page. You also want to send an SMS notification to your client to let them know when this happens (the equivalent to letting them know they have a new lead) How would we do this? Answer: Set up a trigger! Create, Name and Activate Triggers Follow the steps below to create, name and activate a trigger: Click Triggers Click + New Basic Rule Choose a trigger from the Choose a trigger dropdown and add all the necessary filters Click +Add action Choose an action from the Choose a action dropdown and all the necessary filters Name the Trigger in the Trigger name field Click the Draft dropdown and click Activate "
Trigger/workflow - Email/SMS Notifications to Client/Yourself (New Lead),"Note: Now that Workflows are live in all accounts, you can do everything that Triggers and Campaigns do (and more!), all in one builder! Click to learn more about Workflows. Send an email and/or SMS notification to your client(s) and/or yourself when a lead is added to a campaign: TABLE OF CONTENTS How to send internal notifications for workflows Rate limiting on Workflow Notifications How to send internal notifications for workflows: Set up a new workflow: Click on Start from scratch Click on Create workflow Click on Add New Workflow Trigger Once you configured the workflow trigger: Click on Add your first Action Click on Send Internal Notification Choose the type of notification: Email notification Internal notification: SMS notification Rate limiting on Workflow Notifications We have added Rate Limiting for Internal Notification action of workflows. The current rate limits are 500 notifications / 5mins for each user (Per workflow) In the case of email, its 500 notifications per 5 mins, per user email In the case of SMS, its 500 notifications per 5 mins, per user's phone In the case of in-app notifications, its 500/5mins per user Id We will skip any notifications that are sent after breaching this limit. Why was this done, and how will this help? Because no limit was enforced, there were several updates made to a specific conversation of a user. Let's say you put 300k contacts into a workflow And in the internal notification you are sending a mail to a particular user (in most cases we have seen customers set up to send a notification to themselves) Now this particular user mail, will get 300k emails. Because of this, the conversation of this user will be updated 300k times, within a few seconds/minutes. This introduced an overall delay in processing workflow actions. The rate-limiting should have good gatekeeping for these events, and also prevent customers to send bulk emails to a particular user"
Duplicating Triggers," Note: Now that Workflows are live in all accounts, you can do everything that Triggers and Campaigns do (and more!), all in one builder! Click to learn more about Workflows. Duplicating triggers is useful if you want to run the same trigger across multiple client locations. Instead of creating and customizing the trigger from scratch, you can simply duplicate it and make any adjustments necessary. Follow the steps below if you want to copy a trigger: Click Triggers on the client view. Click on the trigger you want to duplicate. Click the Actions dropdown on the top right. Click Duplicate Trigger. Type in a New Trigger Name and select the client location(s) you want to duplicate the Trigger into. Click Save. You may need to make adjustments to the trigger duplicated in other client locations depending on the configurations and setup. All duplicated triggers start in draft mode so be sure to activate them. "
Bulk Importing Contacts Via CSV Walkthrough,"Whether this is your first CRM or you are moving from another system, importing lets you create records and update your existing databaseEach row represents a contact record, and each information column represents a contact property (First Name, Last Name, Email Address, etc.) Please note: Having issues importing contacts? Troubleshooting Bulk Imports Via CSV Covered in this Article: Pre-requisites: How to import contacts into the CRM Step 1: Setting up your CSV and Custom Fields before importing Step 2: Check for duplicates Step 3: Importing your contacts 1st Method: If your CSV has a phone # and or email, please follow this CSV setup guide 2nd Method: If your CSV does NOT have an email and or phone #, please watch the video below Breaking down advanced filters: Bulk Import Multiple Emails per Contact: Conditions to import: Steps to Import FAQ My CSV list is mixed; some contacts have an email or phone #, and some have both an email and phoneHow should I proceed? Some of my contacts have multiple emails and or phone numbersHow should I proceed? Important note for people that use Keap: When importing the phone numbers, I get the error code 1007 'invalid required property: I'm trying to import a CSV with a DND Column, but all contacts are set to DND for ALL channelsI'm trying to import a CSV with Notes, and I cannot generate more than one note per contact recordI'm trying to export a CSV with NotesPre-requisites: Only users with an 'Admin' role will have the option to import and export contactsThe import file needs to be a .csv file Have only one sheet/tab within the spreadsheet Be smaller than 50MB (Note: a typical .csv file with 4 columns and 10,000 records will be ~500kb in size) The first row should NOT be blank! Include a header row in which at least one column header corresponds to a field in the systemHow to import contacts into the CRM Step 1: Setting up your CSV and Custom Fields before importing Please Note: - When adding a phone number that requires a ""+"" sign, please add an apostrophe at the beginning of the number, like this: '+191668128779 (Correct format)- File Upload and Signature Fields are NOT supported when importing - When important contacts are with a DND column within your CSV, please note that the contact will be DND for ALL the channelsIf you would like to DND for specific channels, please set up a workflow first and use tags Having issues importing contacts? Troubleshooting Bulk Imports Via CSV Step 2: Check for duplicates It's always best practice to clean your list and check for duplicates before importing into any software, especially if you are running cold traffic campaignsFailure to do so can results in deliverability issues Step 3: Importing your contacts There are two methods to import contacts depending on your CSV data: 1st Method: If your CSV has a phone # and or email please follow the 1st method below 2nd Method: If your CSV does NOT have an email and or phone #, please follow the 2nd method below (Getting contact ID) 1st Method: If your CSV has a phone # and or email, please follow this CSV setup guide Please Note: The Add to Workflow/Campaign toggle only works for new contacts and not contacts that are being updated through the CSV file2nd Method: If your CSV does NOT have an email and or phone #, please watch the video below Please Note: Contact ID unique identifier only shows up if you have a column header with Contact ID written as the header titleWhen selecting the unique identifier (Email, Phone or Contact ID) The system will only use identifier selectedIt will not use the phone number during the importExample: My CSV has mixed emails and phone numbers, some contacts share emails like Breaking down advanced filters: Add New and Update Existing Contact Records: This means that it will create new contacts, and if you have any leads already in the system, it will update them with the information from your CSV fileThe system will check for existing contacts in the sub-account based on the unique identifier (Email, phone, or contact id) you selected (Primary or Secondary preference)Add New Contact Records: This will create new contact records and will not update existing contacts in the locationUpdate Existing Contact Records: This option will only update existing contact records and not create new contacts in the locationPlease Note: While the default unique identifier is Email, our system allows you to choose fields other than Email for de-duplication purposes during the Bulk CSV Upload Bulk Import Multiple Emails per Contact: You can leverage the power of effective contact management with our new 'Additional Emails' feature, complemented by the Bulk Import capabilitySeamlessly map, manage, and maintain multiple emails for each contact, enhancing data handlingOur innovative approach simplifies large-volume data management, ensuring a streamlined and efficient process for usersConditions to import: To ensure contact uniqueness, both the primary and additional email (if selected as the first preference) will be usedIn cases where multiple duplicate matches are found for an additional email, that specific email will be left outAny invalid emails in the additional fields will be removed, leaving only valid ones for a contactIf the email column in the CSV is blank, but the additional email column has values, the first additional email will serve as the primary emailWhen updating an existing contact, the specified emails in the CSV will be combined with the ones already associated with the contactThe ""Additional Email"" column can hold a maximum of 10 email IDs, with only the first 10 being considered if more are includedSteps to Import Within the Contact Import section, users will discover a new system field named “Additional Emails.” This feature enables users to map all their extra emailsDuring the import process, it's necessary to include all additional emails in one columnThese should be separated by commas (,), slashes (/), or semicolons (;), and then mapped to the “Additional Emails” field in the systemSample CSV FAQ My CSV list is mixed; some contacts have an email or phone #, and some have both an email and phoneHow should I proceed? Please use the 'secondary preference' option for a mixed CSVThe system will search for the first preference and then the second if it cannot locate the firstIn the example above the first preference is 'Email' and the second is 'Phone'Now we can find existing contact based on the secondary field, so if the contact record has only the phone number, we can also upload them! Some of my contacts have multiple emails and or phone numbersHow should I proceed? If a contact has multiple phone numbers or emails, please split the contacts into multiple so they will be uploadedExample: Original with two phone number columns: Josephine 810-292 9388 810-374-9840 josephine_darakjy@darakjy.org Cleaned for upload version: Josephine 810-292-9388 josephine_darakjy@darakjy.org Josephine 810-374-9840 Keep the email blank for the second lead with a different phone number because it will create duplicates when we upload contacts with phone numbers as the unique fieldImportant note for people that use Keap: The phone field from the CSV export in Keap is incompatible with GHLThe parenthesis '()' and dashes '-' make it incompatibleWe have to highlight the entire column in the CSV file and ensure it is numbered in, remove any parenthesis and dashes, and then we can import without corrupting the data in the CRMWhen importing the phone numbers, I get the error code 1007 'invalid required property': Add a country code for numbers outside the sub-account country when importing numbersIf the sub-account country is set to the US, you won't need to add a +1 (US country code) to the imported phone numbersHowever, if you're importing numbers outside of the US, you will need to add the country code I.eA sub-account that has set its business location to the US would need to add '+44 to call the UKIf the Sub-Accounts country is set to a different country other than the US (like - the UK, Australia, etc.), to call/SMS US numbers you would need to add a '+1 to the country's area code within the CSV FileI'm trying to import a CSV with a DND Column, but all contacts are set to DND for ALL channelsWhen importing contacts with a DND column within your CSV, please note that the contacts will be DND for ALL the channelsIf you want to DND for specific channels, please set up a workflow first and use tags for each channelIe: I would like john to be DND for SMS onlyI would create a workflow that DNDs a contact when a tag 'DND SMS' is addedSo now, on the CSV, I would add the Tag 'DND SMS' next to John's nameWhen importing, this would fire automation to DND John for SMS OnlyI'm trying to import a CSV with Notes, and I cannot generate more than one note per contact recordWhen importing contact notes, you may only have one note per contact record with a limit of 5000 charactersPlease use the large text custom field if you have more than one note or more characters than the allowed amountI'm trying to export a CSV with NotesAs of now, We do not have any limit for CSV import for notes, and As per our current export behavior, we support Max of 255 Characters for the last notePlease note: For a detailed troublshooting doc please see: Troubleshooting Bulk Imports Via CSV"
How to Set Up a Whitelabel Domain for the Desktop Web App," Why do I need to whitelabel the desktop web app? By whitelabeling your desktop web app, your customers will be using your domain when logging in and using the appFor example, instead of ""app.gohighlevel.com"" they would use ""app.myawesomedomain.com"" To get started, you'll just need to complete four easy steps: Create a CNAME in your DNS records (typically at your domain provider) pointing to whitelabel.ludicrous.cloud for example at GoDaddy it might look like this: (the Host field is the prefix you'd like to use before your domainIt can be anything, but in this example, it is ""app,"" meaning ""app.myawesomedomain.com"" would point to the HighLevel serversLog into your HighLevel Agency account and enter the subdomain as configured in the previous stepGo to the ""Agency View"" in the sub-account chooser at the top of the side navigation bar > ""Settings"" > ""Company"" > ""Whitelabel Domain""Scroll down and click the ""Update Company"" button to saveNOTE: If you previously set up your white-label domain and you want to update it to run on whitelabel.ludicrous.cloud, you'll need to first clear the Whitelabel Domain field, click Update Company to save, then re-enter your sub-domain into the Whitelabel Domain field and save againUpload your agency logoWithin the ""Agency View,"" go to ""Settings"" > ""Agency Settings"" > ""Company Logo"" Update your agency Terms & ConditionsWithin the ""Agency View,"" go to ""Settings"" > ""Agency Settings"" > ""Terms & Conditions URL"" Include the full URL to your Terms & Conditions page, which should look something like this: https://myawesomedomain.com/terms Once your DNS record propagates (typically within a few minutes at most), you can access your new domain, for example: ""https://app.myawesomedomain.com"" and you will see your login screen, logo and terms & conditionsCongrats you're done! "
White Label the iPhone App,"Please ensure you have purchased the White Label Mobile App Service ($497/month) from the Marketplace before you start the process in this articlehttps://app.gohighlevel.com/marketplace ***NOTE*** The White Label Mobile App Service is NOT included in the $497/month Pro Plan (Saas Plan) Apple IOS Instructions All apps in the iTunes Store are submitted through Apple Developer accountsIn order to publish your app for iOS devices, you will need to sign up for an Apple Developer accountApple requires each business to have their own accountFee Enrolment is $99, and renews annuallyMembership is now available at no cost for eligible organizations, including non profit organizations, accredited educational institutions, and government entities based in the United StatesClick Here for more details on eligibility requirementsRegistration Below is a step-by-step guide for enrollingIf you run into any issues, we recommend contacting Apple support directly at 1-800-633-2152Step 1: Create your ID Go to https://developer.apple.com/programs/enrollYou will then be asked to enter or create a new Apple IDWe recommend you create a new Apple ID that reflects your business nameThis way your personal ID is separate from your business accountStep 2: Developer Agreement You will be prompted to read and verify that you have read Apple’s Developer AgreementStep 3: Choosing an Entity Type Here you will be prompted to select an Entity TypeThere are three options: Individual, Organization, or Government OrganizationThe entity type is what Apple uses to display as your Developer NameFor example, as an Individual, your Developer Name will be your full nameAs an Organization, your Developer Name will be your Business’ Name*We highly recommend that you register as an OrganizationApple has emphasized per Item 4.2.6 in the Developer Agreement that the App Name and Developer Name need to match in order for your application to be approvedIf Enrolling as an Organization: You'll need an Apple ID as well as the following to get started: A D-U-N-S® Number Register Here Learn More Here Legal Entity Status: Your organization must be a legal entity so that it can be entered into contracts with AppleApple does not accept DBAs, fictitious businesses, trade names, or branchesLegal Binding Authority as the person enrolling your organization in Apple’s Developer Program, you must have the legal authority to bind your organization to legal agreementsYou must be the organization’s owner/founder, executive team member, senior project lead, or have legal authority granted to you by a senior employeeIf your legal status is a sole proprietorship/single person business, enroll as an individualStep 4: Contact Information After you select your entity type, Apple will want you to enter and confirm your contact informationStep 5: Payment & Confirmation After entering in your payment information, Apple will ask you to complete and confirm your purchaseStep 6: Email Confirmation You should receive an email confirmation of your order with a link to verify your email addressFollow the instructions to confirm your accountNow you are an Apple Developer! Additional Items: Your account renews yearly and is required so your application runs properly Log into itunesconnect.apple.com and developer.apple.com using your Apple ID login information Confirmation of your account can take up to 48 hours by Apple In order to successfully publish iOS applications, ensure you have logged in and accepted any additional Terms of Service prompts, and that you do not have Two Factor Authentication enabled"
White Label the Android App,"Please ensure you have purchased the White Label Mobile App Service ($497/month) from the Marketplace before you start the process in this article. https://app.gohighlevel.com/marketplace It's necessary to register for a Google Developer account in order to upload Android apps. Your Developer account is where you'll submit, as well as manage your apps. It costs a one-time fee of $25. We recommend setting up a second Google account for this purpose, so you can separate it from your other Google services (Gmail, Google Drive, Google+, etc.) if you already have a personal account. How-To: 1. Register for an Android Develop account here. You'll need to log into the Google account you'd like to use. 2. You'll be taken through a 4-step registration process. Check the agreement box and click Continue to payment. 3. Next, a pop-up window will prompt you to input your billing information. After you've filled it out, click Pay. 4. Finally, complete your account info. You should receive a confirmation email after you've finished!"
Snapshots - Overview,"A snapshot is a template of a particular sub-account that is used to transfer items such as Funnels, Calendars, Workflows, Websites, Custom Values, Trigger Links, Message templates, etc., to another accountThe idea behind this feature is that it allows the agency owner to build and customize many different assets and settings so they can be applied to new accounts, thereby minimizing the amount of work that needs to be done when it is createdList of client account items copied using Snapshots: Custom Fields Custom Values *0 Triggers *1 Trigger Links Surveys Forms SMS Templates Email Templates *2 SMS *3 Email *4 Custom Communications *5 Campaigns *6*7 Pipelines Calendars *8 Tags Folders Funnels *10 Membership products and offers Workflows *9 Teams *11 Marketplace actions and triggers *12 Internally created actions and triggers *Notes *0 - The Values of the Custom Values do not get copied, only the Key doesTo learn why we do this, and how to use Custom Values to maximize the Snapshot experience please see this article: Custom Values *1 - Triggers copied over from a Snapshot will start in Draft mode *2 - There are three types of emails that get saved in Snapshots: Emails built-in Marketing > Emails, emails built-in Marketing > Text & Email Templates, and emails built-in Marketing > HTML builder *3 - This is the SMS template for Reputation Management (Settings -> SMS) *4 - This is the Email template for Reputation Management (Settings -> Email) *5 - These are the Custom Communications settings for Reputation Management (Settings -> Custom Communications) *6 - Campaigns copied over from a Snapshot will start as Published *7 - Users (a feature in Campaign Configurations) is not copied over as we do not copy Users within Snapshots as we assume the users for each account will be different *8 - Includes calendar settings for each calendar *9 - Workflows saved in Snapshots do not include: Facebook add to custom Aud., Facebook remove from customer Aud., Add to Google Analytics, Add to google Adwords, FB Conversion API *10 - Products created in Funnels do not get saved to SnapshotsTracking codes also do not get included in Snapshots*11 - Teams in Snapshots are not active by default and must be manually activated by a team member *12 - App must be installed to use the marketplace actions and triggers List of client account items that do NOT copy over when using a SnapshotContacts do not transfer overConversations do not transfer overTracking codes that you have set up on the backend on websites and or funnels will not transferIntegrations do not transfer overUsers do not transfer overReporting data does not transferReputation does not transfer overThe data within a custom valueAny customization that is done to the chat widgetAny integrated domains do not transfer company settings inside the companies settings tab do not transfer overExisting tasks or manual actions do not transfer overTo Know More: * Creating Snapshots * Importing Snapshots * Load Snapshots into Existing Account"
How to share Snapshots,"Are you tired of spending hours setting up sub-accounts for your customers? Introducing Snapshot share options - a tool designed to reduce the time it takes to set up sub-accountsWith Snapshot, you can easily create a copy of a particular sub-account at a specific point in time, saving you time and effortImagine being able to quickly set up sub-accounts for your customers and get them started using your CRM right awayWith Snapshot, you can do just thatDon't waste any more time setting up sub-accounts manuallyTry Snapshot today and streamline your onboarding process! Covered in this article: Share Options Agencies on $97 & $297 Plans 1Get a share link 2Email share link 3Get a permanent link Agencies on $497 Plan (SaaS) 3Agency Restricted 4Sub-account Restricted FAQs If I share a snapshot with agencies outside of my own and later make updates to it, will those changes be reflected or automatically updated in the snapshot previously shared with other agencies? How can I update a snapshot for sub-accounts within my agency? How should I update a shared snapshot using share options 1, 2, and 3 from above to agencies outside of mine? How can I share an updated snapshot with agencies using 'Sub-account' or 'Agency' restricted share links (Share options 3 & 4 from above)? I shared my snapshot and did not see the 'New' itemsWhat happened? For more information and detailed instructions, please refer to the following articles: Please Note: It is important to refresh the Snapshot before pushing updates to connected sub-accountsAfter pushing the updates, you will have the option to choose which updates to bring overFollow the steps below to share a Snapshot: Head into your Agency View Click the ""Settings"" tab at the bottom left menu Click the ""Snapshot"" tab Click the Share button on the right-hand side of the Snapshot you wish to share Share Options Agencies on $97 & $297 Plans 1Get a share link This creates a shareable link you can copy/paste and send to someoneIt can only be used once, meaning that if someone uses it to import the Snapshot into an agency account (including yours), it won't work again, and another shareable link must be generated2Email share link Sends a share link via email to whatever email address(es) are put in the Emails fieldThe email sent also contains a clickable link that can be used to import the Snapshot straight from the email3Get a permanent link This creates a shareable link you can copy/paste and send to someoneUnlike the share link (1above), this link can be used infinite timesAgencies on $497 Plan (SaaS) All share options above will be included, plus: 3Agency Restricted By utilizing Agency Restricted Share Links, you can confidently and securely share Snapshots with your chosen trusted agenciesSimply as the other agencies provide their unique relationship numbers and a secure link will be instantly generated for their exclusive use4Sub-account Restricted Sub-account Restricted Share Links let you share Snapshots for specific sub-accounts only, making your data sharing more personalized, and only those sub-accounts can use that snapshotFAQs If I share a snapshot with agencies outside of my own and later make updates to it, will those changes be reflected or automatically updated in the snapshot previously shared with other agencies? No, regardless of your share options (1-4), snapshots are always considered clones of a specific sub-account at a specific momentTherefore, any updates made to a snapshot will not be automatically reflected in previously shared snapshotsHow can I update a snapshot for sub-accounts within my agency? To update a snapshot for sub-accounts within your agency, you need to follow these steps: First, update the Snapshot with the desired changesNext, push the updated Snapshot to the linked sub-accounts within your agencyHow should I update a shared snapshot using share options 1, 2, and 3 from above to agencies outside of mine? If you have shared a snapshot using share options 1, 2, or 3, and you want to update it, follow these steps: Refresh or update the existing snapshot with the desired changesRe-share the NEW snapshot URL with the agencies involvedIt's important to note that generating a new Snapshot URL will invalidate the previous oneTherefore, ensure that you share the new URL for the updated snapshotHow can I share an updated snapshot with agencies using 'Sub-account' or 'Agency' restricted share links (Share options 3 & 4 from above)? To share a new snapshot with agencies using 'Sub-account' or 'Agency' restricted share links, follow these steps: Refresh or update the current snapshot with the desired changesGo to the snapshot share modal and select the 'Sub-account' or 'Agency' restricted share linkEnter all the existing and new 'sub-account' or 'Agency' relationship numbersClick on 'share' to generate a new snapshot URLShare this new URL with the agencies involved, as the old URL will no longer workI shared my snapshot and did not see the 'New' itemsWhat happened? If you shared a snapshot and did not see the 'New' items, you may not have updated the existing snapshot before sharing itRemember that snapshots are copies of a specific account at a specific point in timeTo include the 'New' items in the shared snapshot, you need to follow these steps: Update the existing snapshot to include the 'New' itemsRe-share the updated snapshot or push the update to the relevant sub-accounts For more information and detailed instructions, please refer to the following articles: - Create Snapshots - Share Snapshots with Other Agencies - Import Snapshots - Refresh/Update Snapshots"
Import Snapshots,"Import Snapshot from Snapshot Share Link Follow the steps below to import a snapshot from a shareable link Log into HighLevel in your web browser Open an additional tab in your browser Paste the snapshot share link into the browser address bar and hit enter Click Yes! Import Now Import Snapshot from Email Follow the steps below to import a snapshot from email Log into HighLevel in your web browser Click Click here. in the email Click Yes! Import Now Imported Snapshots appear under the Imported Snapshots tab in Settings (Agency View) -> Account Snapshot. Next steps Once the snapshot is loaded, you need to click on 'Agency View' > 'Subaccounts.' You will click on the subaccount name (without switching to the subaccount) to open the subaccount details. Then, locate the 'Actions' button in the top right corner and select 'Load Snapshot.' This will open a dropdown menu where you can load the snapshot and select specific items that you want to be loaded, such as campaigns, calendars, etc.. You will be able to load as many snapshots as you want per subaccount. https://help.gohighlevel.com/a/solutions/articles/48000982582?portalId=48000045315"
Pushing & Loading Snapshot Updates to Client Accounts,"More Tutorials from the Community https://youtu.be/B6hs7PPaK_E https://youtu.be/ZBYuZjjgQ_A https://youtu.be/EIvov7clJYk https://youtu.be/EayXNoAJDmE Pushing Snapshot Updates to Client Accounts Follow the steps below to push Snapshot updates to linked accounts: Click Settings on the Agency View Click Account Snapshot Click the Push update to linked accounts button found on the right side of the Snapshot you wish to push out updates for Click Ok when prompted What happens? *Important* New Snapshot client account items (Snapshots Overview for the list of items) which were not in the Snapshot prior, thus were added by a Refresh (update) Snapshots, will be added to the client account *Any items in the client account that were created originally from the Snapshot will be updated to their state in the most updated (present) version of the Snapshot Based on (2.) if you make a change to items (ex: Campaigns) in the client account and then push an update to linked accounts, it will update the items to their state in the most updated (present) version of the Snapshot, thus deleting the changes if they are not in the most updated version of the Snapshot -- *Workaround: Create a copy of the item (campaign: Copying Campaigns) originally created by the Snapshot and make the edits thereThis untethers the campaign from the Snapshot thus pushing updates out to linked accounts will not touch the copyNote that you may need to update triggers and other items in the client account to reflect the new campaign Custom Values will not be edited or deleted, meaning it is the one exception to rules 2& 3aboveThis is why we suggest using them (Using Custom Values to Master Snapshots) Client account Users and Users (set in Campaign Configurations) will not be edited or deleted Other client account items that were not originally created by the Snapshot or have been added since the Snapshot was originally loaded will not be edited or deleted Snapshot updates will not be pushed to client accounts created in other agency accountsThese are client accounts that may exist in other agency accounts based on a Snapshot you shared - Share Snapshots (with other agencies) Loading a Snapshot into an Existing Clients Account To learn how to Load a Snapshot into an already existing account: Load Snapshots What happens? Nothing that already exists in the client account gets deleted or changed All of the Snapshot items within the Snapshot simply get added to what already exists in the client account If you load the same Snapshot into the same client account multiple times, the items of the Snapshot will duplicate If the snapshot has more than 100 locations to process, we’ll process the first 100 locations within the first 10 mins, then the next 100 locations after 10 min, and again 100 locations after 20 mins of initial processing"
Activate Notifications,FAQs: 1. Why am I getting duplicate notifications? Ensure the same Twilio Account SID is not connected to multiple HighLevel sub-accounts.
Email Signatures,"Follow the steps below to create Email Signatures for users: Click on Settings Click on My Staff Click on Edit for the user you want to update the user signature for Expand User Info Scroll to the Email signature section You can also insert the code here You can ask the user to log in and go to the Profile tab to edit the Email signature Click save Follow the steps below to automatically append the email signature to email event templates Click Marketing Click Campaigns Click the name of a campaign to open up the campaign (or create a new campaign if you don't already have one) Click Campaign Configurations Use the drop down in the Users field to assign user(s) to the campaign Click Save Click Edit on an email event within the campaign (or add an email event) Within the email template click Custom Values -> User -> SignatureMake sure the code given is at the bottom of the email template (where you would expect to see an email signature) Click Save Make sure the campaign is Published if you want to be able to add contacts to it (top right drop down within the campaign) Done! Now all of the contacts that get put into this campaign will be assigned to the user(s) assigned to the campaign and will receive the email signature within the email event pertaining to the user they were assignedClick here to learn more about Round Robin Campaigns FAQ: Why is the user signature blank when I send a manual email in the conversation tab? If email signatures are not working, make sure that you are logged in as the user with the signatureIf you are logged in as an agency trying to send an email on behalf of the user, the user signature will not workHowever, the workaround is to send the email through the workflow/campaign instead of sending them manuallyYou can use the other methods listed here aside from the conversation manual way: https://gohighlevelassist.freshdesk.com/support/solutions/articles/48001208887-how-to-send-a-test-email-in-the-conversation"
User Access,"1. Agency Team Management: This section is used by the agency to grant its employees or a client employee access to all or select client accounts. To access Agency Team Management follow these steps: Click ""Settings"" in the side navigation menu of the Agency View Click ""Team"" Here you can add, edit detail, or delete users. Adding or editing a user allows you to update: Personal logo First name Last name Email (login email) Phone Password (login password) Permissions (see article) User Type Agency: Grants them access to all accounts under the agency Account: Select individual accounts you would like them to have access to Add Account If agency type is selected, the user will receive notifications pertaining to the accounts selected here If account type is selected, the user will only have access to accounts selected here 2. Team Management This section is used by the client to grant its employees access to their specific HighLevel account. Any employee created here will show up in Agency Team Management (1. above). To access Team Management complete the following steps: Click ""Settings"" in the side navigation menu of the sub-account view Click ""My Staff"" Here you or the client can add, delete, or edit details of an a user Adding or editing an user allows you to update: Personal logo First name Last name Email (login email) Phone Password (login password) Permissions (see article)"
"User Permissions, Assigned Data, and Owners"," User Permissions User permissions are a great way to limit your client's access to certain features/areas within HighLevel. ""Only Assigned Data"" is a great way to limit salespeople from seeing each other's leads, opportunities, conversations Limiting user access to only assigned data in the subaccount will constrain their activity and capabilities. This implies that users will exclusively view or have access to the information they own. Contacts Users will see only their assigned contacts and the corresponding conversations. Campaigns (read-only) Users can view the campaign and its content but won't have the ability to edit it. Calendar Users will only observe their assigned calendar and appointed meetings. Pipeline/Opportunities Users will exclusively access their assigned opportunities in the pipeline. Note: there is no option to assign tags, funnels, workflows, etc. Therefore, toggling the ""only assigned data"" feature will restrict user access to these functionalities. "
